59;gg_relagrelem;gg_relagrelem;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
60;gg_gencupones;gg_gencupones;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
61;gg_automatico;gg_automatico;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
62;gg_bajas_cajas;gg_bajas_cajas;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
63;gg_bajas_cajas_log;gg_bajas_cajas_log;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
64;gg_plantilla;gg_plantilla;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
65;gg_plantilla_detalle;gg_plantilla_detalle;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
66;mk_datos_complemen_persona;mk_datos_complemen_persona;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
67;hist_cupones_proveedor;hist_cupones_proveedor;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
68;maestro_art_fichas;maestro_art_fichas;mercancias_master;PARQUET;SNAPPY;1;Mercancias;config;0
69;maestro_fichas;maestro_fichas;mercancias_master;PARQUET;SNAPPY;1;Mercancias;config;0
70;maestro_tie_fichas;maestro_tie_fichas;mercancias_master;PARQUET;SNAPPY;1;Mercancias;config;0
71;segmentacion_clientes;segmentacion_clientes;marketing_master;PARQUET;SNAPPY;2;Marketing;config;0
72;ampliaciones;ampliaciones;ssff_pruebas;PARQUET;SNAPPY;3;Ssff;config
73;cliente_analitico_anio;cliente_analitico_anio;ssff_master;PARQUET;SNAPPY;3;Ssff;config
74;cliente_analitico_mes;cliente_analitico_mes;ssff_master;PARQUET;SNAPPY;3;Ssff;config
75;cliente_analitico_semestre;cliente_analitico_semestre;ssff_master;PARQUET;SNAPPY;3;Ssff;config
76;cliente_analitico_trimestre;cliente_analitico_trimestre;ssff_master;PARQUET;SNAPPY;3;Ssff;config
77;comunicaciones_comerciales;comunicaciones_comerciales;ssff_master;PARQUET;SNAPPY;3;Ssff;config
78;eventos_webapp;eventos_webapp;ssff_master;PARQUET;SNAPPY;3;Ssff;config
79;jerarquia_vendedor;jerarquia_vendedor;ssff_master;PARQUET;SNAPPY;3;Ssff;config
80;maestro_centros;maestro_centros;ssff_master;PARQUET;SNAPPY;3;Ssff;config
81;vendedor_act_comercial;vendedor_act_comercial;ssff_master;PARQUET;SNAPPY;3;Ssff;config
82;vendedor_act_interna;vendedor_act_interna;ssff_master;PARQUET;SNAPPY;3;Ssff;config
83;vendedor_cajero;vendedor_cajero;ssff_master;PARQUET;SNAPPY;3;Ssff;config
84;vendedor_cambio_forma_pago;vendedor_cambio_forma_pago;ssff_master;PARQUET;SNAPPY;3;Ssff;config
85;vendedor_direct;vendedor_direct;ssff_master;PARQUET;SNAPPY;3;Ssff;config
86;vendedor_formato;vendedor_formato;ssff_master;PARQUET;SNAPPY;3;Ssff;config
87;vendedor_franquicia;vendedor_franquicia;ssff_master;PARQUET;SNAPPY;3;Ssff;config
88;vendedor_grupo_act_comercial;vendedor_grupo_act_comercial;ssff_master;PARQUET;SNAPPY;3;Ssff;config
89;vendedor_grupo_act_interna;vendedor_grupo_act_interna;ssff_master;PARQUET;SNAPPY;3;Ssff;config
90;vendedor_grupo_cajero;vendedor_grupo_cajero;ssff_master;PARQUET;SNAPPY;3;Ssff;config
91;vendedor_grupo_empresa;vendedor_grupo_empresa;ssff_master;PARQUET;SNAPPY;3;Ssff;config
92;vendedor_grupo_red;vendedor_grupo_red;ssff_master;PARQUET;SNAPPY;3;Ssff;config
93;vendedor_grupo;vendedor_grupo;ssff_master;PARQUET;SNAPPY;3;Ssff;config
94;vendedor_red;vededor_red;ssff_master;PARQUET;SNAPPY;3;Ssff;config
95;mosaic;mosaic;ssff_master;PARQUET;SNAPPY;3;Ssff;config
96;provisiones;provisiones;ssff_master;PARQUET;SNAPPY;3;Ssff;config
97;cliente;cliente;ssff_master;PARQUET;SNAPPY;3;Ssff;config
98;contratos_ctx;contratos_ctx;ssff_master;PARQUET;SNAPPY;3;Ssff;config
99;contratos;contratos;ssff_master;PARQUET;SNAPPY;3;Ssff;config
100;devoluciones;devoluciones;ssff_master;PARQUET;SNAPPY;3;Ssff;config
102;impcar;impcar;ssff_master;PARQUET;SNAPPY;3;Ssff;config
103;pagos;pagos;ssff_master;PARQUET;SNAPPY;3;Ssff;config
104;provi5;provi5;ssff_master;PARQUET;SNAPPY;3;Ssff;config
105;recibos5;recibos5;ssff_master;PARQUET;SNAPPY;3;Ssff;config
106;stopry;stopry;ssff_master;PARQUET;SNAPPY;3;Ssff;config
107;demanda;demanda;ssff_pruebas;PARQUET;SNAPPY;3;Ssff;config
